Date,Close,High,Low,Open,Volume
2012/8/7,5.361,5.38,5.304,5.323,4196162
2012/8/8,5.304,5.39,5.294,5.361,3163026
2012/8/9,5.477,5.486,5.284,5.304,5269580
2012/8/10,5.448,5.544,5.4,5.477,4209709
2012/8/13,5.265,5.467,5.256,5.39,3568874
2012/8/14,5.313,5.313,5.111,5.236,3394327
2012/8/15,5.611,5.832,5.275,5.284,18257157
2012/8/16,5.534,5.621,5.486,5.496,8048562
2012/8/17,5.544,5.592,5.486,5.486,4407692
2012/8/20,5.486,5.534,5.38,5.505,3912179
2012/8/21,5.515,5.573,5.438,5.457,5086152
2012/8/22,5.39,5.515,5.371,5.515,4034640
2012/8/23,5.467,5.477,5.352,5.39,3092066
2012/8/24,5.457,5.525,5.409,5.457,4161762
2012/8/27,5.198,5.409,5.188,5.38,4160855
2012/8/28,5.217,5.256,5.131,5.198,2942071
2012/8/29,5.188,5.294,5.131,5.208,2839591
2012/8/30,5.131,5.208,5.025,5.169,3393832
2012/8/31,5.15,5.179,5.092,5.131,2330045
2012/9/3,5.208,5.227,5.102,5.111,2071359
2012/9/4,5.14,5.284,5.14,5.246,2722554
2012/9/5,5.169,5.179,5.035,5.14,2363876
2012/9/6,5.227,5.265,5.15,5.208,2330133
2012/9/7,5.409,5.525,5.256,5.265,6391866
2012/9/10,5.669,5.89,5.38,5.4,15595010
2012/9/11,5.582,5.698,5.515,5.601,6704572
2012/9/12,5.611,5.64,5.525,5.582,4485100
2012/9/13,5.525,5.64,5.496,5.611,4744301
2012/9/14,5.515,5.611,5.477,5.573,3596722
2012/9/17,5.409,5.534,5.39,5.496,3952705
2012/9/18,5.38,5.534,5.361,5.409,2841026
2012/9/19,5.477,5.486,5.38,5.39,2480619
2012/9/20,5.323,5.505,5.313,5.505,2744273
2012/9/21,5.16,5.323,5.121,5.304,4867555
2012/9/24,5.198,5.256,5.083,5.16,3386272
2012/9/25,5.131,5.236,5.121,5.169,1725342
2012/9/26,5.054,5.188,5.044,5.131,2754443
2012/9/27,5.169,5.179,5.025,5.054,3781309
2012/9/28,5.332,5.4,5.131,5.14,4535852
2012/10/8,5.217,5.352,5.198,5.294,3543584
2012/10/9,5.352,5.371,5.217,5.217,3891322
2012/10/10,5.429,5.438,5.332,5.352,3446178
2012/10/11,5.284,5.429,5.227,5.419,4748302
2012/10/12,5.284,5.342,5.236,5.294,2394065
2012/10/15,5.284,5.323,5.236,5.323,1739783
2012/10/16,5.294,5.361,5.246,5.284,3398073
2012/10/17,5.4,5.438,5.246,5.304,4765916
2012/10/18,5.429,5.467,5.38,5.4,5571373
2012/10/19,5.409,5.467,5.39,5.438,2528928
2012/10/22,5.438,5.448,5.361,5.38,2192299
2012/10/23,5.352,5.457,5.342,5.448,2987741
2012/10/24,5.313,5.371,5.284,5.323,2471164
2012/10/25,5.313,5.4,5.284,5.304,2281903
2012/10/26,5.131,5.332,5.121,5.294,3973800
2012/10/29,5.14,5.169,5.092,5.111,1886629
2012/10/30,5.169,5.198,5.102,5.16,2428250
2012/10/31,5.169,5.198,5.131,5.15,1364049
2012/11/1,5.246,5.275,5.15,5.169,2424441
2012/11/2,5.332,5.352,5.227,5.265,3262776
2012/11/5,5.352,5.361,5.265,5.323,2499372
2012/11/6,5.284,5.342,5.208,5.342,2127155
2012/11/7,5.438,5.457,5.256,5.284,6893035
2012/11/8,5.208,5.4,5.179,5.38,5290947
2012/11/9,5.16,5.198,5.111,5.16,2581840
2012/11/12,5.198,5.208,5.121,5.16,1753817
2012/11/13,5.102,5.198,5.073,5.198,2352675
2012/11/14,5.217,5.38,5.044,5.102,6860665
2012/11/15,5.131,5.284,5.102,5.188,4239032
2012/11/16,5.015,5.179,5.006,5.14,2333975
2012/11/19,5.006,5.073,4.91,5.006,1817989
2012/11/20,5.044,5.14,5.006,5.044,7937528
2012/11/21,5.083,5.083,4.958,5.044,2048623
2012/11/22,5.006,5.083,4.987,5.083,2010789
2012/11/23,5.025,5.102,4.996,5.035,2860580
2012/11/26,4.948,5.025,4.939,5.025,1861853
2012/11/27,4.785,4.948,4.785,4.948,2765627
2012/11/28,4.612,4.746,4.612,4.708,1984357
2012/11/29,4.449,4.66,4.439,4.631,1780376
2012/11/30,4.871,4.89,4.449,4.458,10929517
2012/12/3,4.679,4.794,4.641,4.727,7728817
2012/12/4,4.602,4.641,4.372,4.621,5932481
2012/12/5,4.756,4.814,4.535,4.545,4587521
2012/12/6,4.708,4.775,4.66,4.775,2332434
2012/12/7,4.785,4.814,4.669,4.679,5785867
2012/12/10,4.862,4.871,4.746,4.785,4441992
2012/12/11,4.823,4.91,4.814,4.842,3167768
2012/12/12,4.814,4.871,4.766,4.833,2527853
2012/12/13,4.698,4.814,4.679,4.804,1877276
2012/12/14,4.862,4.9,4.698,4.727,4298622
2012/12/17,5.035,5.063,4.871,4.89,6382741
2012/12/18,4.996,5.111,4.967,5.035,4862491
2012/12/19,4.996,5.092,4.958,4.958,3662632
2012/12/20,5.044,5.063,4.919,4.977,3652133
2012/12/21,5.131,5.38,4.996,4.996,12559061
2012/12/24,5.025,5.169,4.996,5.054,6488927
2012/12/25,5.515,5.525,5.054,5.083,27980258
2012/12/26,6.034,6.043,5.352,5.361,54474981
